Brand,Model,Price ,EnginePower,Maximum torque [Nm],Type of brakes,Drive type,Battery capacity [kWh],Range[miles],Wheelbase [cm],Length [cm],Width [cm],Height [cm],Maximum load capacity [kg],Tire Size [inch],Maximum speed [kph],Boot capacity (VDA) [l],Acceleration,Maximum power charging,Energy consumption 
Audi,e-tron 50 quattro,362909.7,313,540,disc (front + rear),4WD,71,340,292.8,490.1,193.5,162.9,670,19,190,660,6.8,150,23.8
Audi,e-tron 55 quattro,406802.48,360,664,disc (front + rear),4WD,95,438,292.8,490.1,193.5,162.9,640,19,200,660,5.7,150,24.45
Audi,e-tron S quattro,488233.58,503,973,disc (front + rear),4WD,95,364,292.8,490.2,197.6,162.9,565,20,210,660,4.5,150,27.55
Audi,e-tron Sportback 50 quattro,376206.98,313,540,disc (front + rear),4WD,71,346,292.8,490.1,193.5,161.6,640,19,190,615,6.8,150,23.3
Audi,e-tron Sportback 55 quattro,420099.75,360,664,disc (front + rear),4WD,95,447,292.8,490.1,193.5,161.6,670,19,200,615,5.7,150,23.85
Audi,e-tron Sportback S quattro,501530.85,503,973,disc (front + rear),4WD,95,369,292.8,490.2,197.6,161.5,565,20,210,615,4.5,150,27.2
BMW,i3,199694.48,170,250,disc (front + rear),2WD ,42.2,359,257,400.6,179.1,157,440,19,160,260,8.1,50,13.1
BMW,i3s,216757.35,184,270,disc (front + rear),2WD ,42.2,345,257,400.6,179.1,159,440,20,160,260,6.9,50,14.3
BMW,iX3,332902.58,286,400,disc (front + rear),2WD ,80,460,286.4,473.4,189.1,166.8,540,19,180,510,6.8,150,18.8
Honda,e,179925.08,136,315,disc (front + rear),2WD ,35.5,222,253.8,389.4,175.2,151.2,342,16,145,171,9,100,17.2
Honda,e Advance,195222.83,154,315,disc (front + rear),2WD ,35.5,222,253.8,389.4,175.2,151.2,350,17,145,171,8.3,100,17.5
Hyundai,Ioniq electric,217110.38,136,295,disc (front + rear),2WD ,38.3,311,270,447,182,147.5,518,16,165,357,9.9,100,13.8
Hyundai,Kona electric 39.2kWh,181690.2,136,395,disc (front + rear),2WD ,39.2,289,260,418,180,157,485,17,155,332,9.7,100,15
